Brand name	Markenname
Serve warm as a dessert, preferably with SÅS VANILJ (vanilla sauce).	Schmeckt als Nachtisch oder zum Nachmittagskaffee; SÅS VANILJ (Vanillesoße) passt gut dazu.
A short-crust pastry pie with a distinct but balanced taste of ripened cheese and leek.	Eine Gemüsetorte mit ausgewogenem Käse- und Lauchgeschmack.
Serve as a light lunch, on your smorgasbord or as a dinner side dish.	Passt als leichtes Mittagessen, zum Büfett, Picknick oder zum Abendbrot.
Decorate your walls with your favourite albums. The frame is designed to fit an LP cover.	Die Lieblingshits als individueller Wandschmuck: der Rahmen ist auf LP-Hüllenmaße zugeschnitten.
The frame fits both single and double LP albums.	Passend für LPs und Doppel-LPs.
Press the on/off button once and the lamp lights up with a warm white colour, press it twice and the lamp shifts automatically between 7 different colours.	Bei einmaligen Betätigen des Schalters leuchtet warmes, weißes Licht auf, bei zweimaligem Betätigen wechselt es zwischen 7 verschiedenen Farben.
The high-gloss surfaces reflect light and give a vibrant look.	Der Hochglanzlack reflektiert das Licht und sorgt für effektvolle Spiegelung auf der Möbeloberfläche.
Generous seat depth and soft extra cushions provide plenty of room for you to sit and relax comfortably.	Großzügige Sitztiefe und weiche separate Kissen; viel Platz, um bequem und entspannt zu sitzen.
Seat cushions with pocket springs, a durable material that provides precise support to your body.	Sitzpolster mit Taschenfedern, eine robuste Konstruktion, die auf sanfte, schmiegsame Weise stützt.
The glass lantern is mouth blown by a skilled craftsperson.	Mundgeblasener Glaseinsatz, jedes Exemplar wurde von einem talentierten Kunsthandwerker gefertigt.
Heavy but soft chenille cover, with a slight shine.	Bezug aus robuster Chenillequalität mit feinem Glanz und weichem Griff.
The glass candle holder is mouth blown by a skilled craftsperson.	Mundgeblasen, jedes Exemplar wurde von einem talentierten Kunsthandwerker gefertigt.
The back can be adjusted to exactly how you want it.	Die Rückenlehne lässt sich nach Belieben stufenlos verstellen.
A large and heavy glass that feels comfortable to hold and has room for several ice cubes to cool your drink.	Ein gediegenes Glas, das durch Gewicht und Struktur gut in der Hand liegt; voluminös und mit reichlich Platz für Eiswürfel zum Kühlen des Getränks.
SÖDERHAMN seating series allows you to sit deeply, low and softly with the loose back cushions for extra support.	In SÖDERHAMN Polstermöbeln mit niedriger, tiefer, weicher Sitzfläche sorgen lose Rückenkissen für zusätzlichen Halt.
You can quickly convert the sofa to a comfortable bed by turning the cushions upside down.	Vom Sofa zum Bett im Handumdrehen: einfach die Sitzpolster umdrehen.
They are sewn together on the back to stay in place when you sleep.	Sie sind auf der Unterseite zusammengenäht, damit sie nachts nicht verrutschen.
Hard-wearing microfibre which is soft and smooth.	Die strapazierfähige Mikrofaser ist zart und weich im Griff.
Heavy and highly durable cover with texture that also has a slight shine and soft feel.	Schwerer, strapazierfähiger Bezug mit Struktur, leicht glänzend und weich.
Cover made from heavy, hard-wearing cotton/polyester twill.	Bezug aus robustem, strapazierfähigem Baumwoll-Polyester-Twill.
Twill is a weaving technique that makes the fabric strong and gives it a lively texture.	Diese Webtechnik - auch Köper genannt -  liefert feste Stoffe mit lebendiger Struktur.
Smart storage space under the seat. Just pull the seat towards you and you can easily reach your things.	Geräumige Aufbewahrung unter der herausziehbaren Sitzfläche.
Minute minder to set a countdown time. Acoustic signals at the end of the set cooking time and the oven automatically turns off.	Mit Timer - signalisiert, wenn die voreingestellte Zeit abgelaufen ist und der Backofen schaltet sich automatisch ab.
The pyrolytic cleaning function makes it easy for you to clean the oven, because grease and food residue are burned to ashes that you simply brush away.	Bei der Selbstreinigungsfunktion werden Fett und Ablagerungen zu Asche verbrannt, die weggewischt werden kann.
Minute minder to set a countdown time. Acoustic signals at the end of the set cooking time.	Mit Timer - signalisiert, wenn die voreingestellte Backzeit abgelaufen ist.
The fast preheat function warms up the oven quickly.	Die Schnellwärmfunktion spart Zeit beim Aufwärmen.
The meat function is ideal for preparing tender and succulent roasts.	Fleischfunktion zum Zubereiten sehr zarter und saftiger Braten.
You get an easy overview and access to your trousers since the trouser hanger pulls out.	Ausziehbare Aufhängung; so lässt sich das gesuchte Paar schnell finden und aus dem Schrank nehmen.
You get an easy overview and access since the multi-use hanger pulls out.	Ausziehbar; so ist Gesuchtes schnell gefunden und griffbereit.
You get an easy overview and access to the clothes since the clothes rail pulls out.	Ausziehbare Kleiderstange; so lässt sich das gesuchte Kleidungsstück schnell finden und aus dem Schrank nehmen.
Bonnell springs provide all-over support to ensure a restful night’s sleep.	Bonellfederung stützt den Körper durchgehend und sorgt für guten Schlaf - Nacht für Nacht.
Designed to be used on one side only – no need to turn.	Für die Nutzung auf nur einer Seite entwickelt - braucht nicht gewendet zu werden.
A generous layer of soft fillings adds support and comfort.	Eine extrastarke Schicht aus Komfortmaterial sorgt für ein angenehmes Liegegefühl.
Stretch fabric on topside of the mattress moves with you to maximise comfort.	Der elastische Matratzenbezug auf der Oberseite passt sich perfekt an und sorgt so für hohen Schlafkomfort.
A layer of memory foam moulds to the contours of your body, relieves pressure and helps you to relax.	Eine Schicht Memoryschaum passt sich der Körperkontur an, wirkt druckentlastend und sorgt für entspannende Nachtruhe.
You get support in the right places with the help of individually wrapped pocket springs that work  independently and closely follow your body.	Die einzeln verpackten Taschenfedern reagieren punktgenau und gewährleisten so eine optimale Druckverteilung und ergonomische Anpassung an die Körperform.
A layer of latex conforms to your body, relieves pressure and helps you to relax.	Eine Latexschicht passt sich der Körperkontur an, wirkt druckentlastend und sorgt für entspannende Nachtruhe.
The lining does not absorb moisture or odours from the laundry because it is made of polyester.	Der Innenbeutel aus Polyester nimmt weder Feuchtigkeit noch Gerüche von der Wäsche an.
You can hang jewellery from the knobs on the side.	An den seitlichen Knöpfen lässt sich Schmuck und Ähnliches aufhängen.
You can keep extra rolls of toilet paper close at hand.	So kann man den Vorrat an Toilettenpapier immer zur Hand haben.
Helps to save space because you get both a chair and a towel rack on the same area.	Stuhl und Handtuchhalter gleichzeitig - spart Platz und nutzt vorhandene Fläche.
You can use the space under your wash-basin for storage by putting two shelves together.	Um den Platz unter dem Waschbecken für Aufbewahrung zu nutzen, können dort zwei Regale nebeneinander aufgestellt werden.
Smooth and creamy chocolate taste with crunchy butterscotch pieces.	Cremig-zart, feiner Schokogeschmack, knusprige Krokantstückchen.
Use when baking, in home-made ice cream, in a glass of warm milk for breakfast or enjoy as it is directly from the jar.	Als Backzutat geeignet, lecker zu Eiscreme, in warme Milch eingerührt zum Frühstück - oder einfach aus dem Glas löffeln.
A golden-coloured lager with a round taste and a well-balanced bitterness.	Goldbraunes Bier, rund im Geschmack mit ausgewogener Herbheit.
Serve chilled with any kind of food.	Kühl servieren; passt zu allen Gerichten.
A reddish-brown dark lager with a malty, rich and creamy taste with notes of roasted coffee.	Ein rotbraunes dunkles Bier; füllige Malznote mit einem Anflug von Röstkaffeearoma.
Serve chilled with any kind of food.	Gut gekühlt servieren; passt zu allen Gerichten.
Sweet liquorice is common and enjoyed worldwide, but salty liquorice is typical for Sweden.	Der Geschmack von süßer Lakritze ist bekannt und beliebt.
Salty sweets – it may sound strange to some.	Die salzigen Varianten sind skandinavische Spezialitäten.
Do you dare to try?	Die muss man einfach probieren!
A selection of fruit and liquorice goodies in the shape of nuts and bolts.	Eine Mischung aus Frucht- und Lakritzkonfekt in Form von Muttern und Schrauben.
A rich and filling little chocolate and truffle cake with a taste of coffee, cinnamon and cardamom.	Sättigende kleine Schokotrüffelschnitte mit Kaffee-, Zimt- und Kardamomgeschmack.
Serve with an optional drink, preferably coffee or tea.	Passt gut zu Kaffeegetränken, Milch, Rotwein oder Tee.
Toffee flavoured candy laces.	Lecker und lustig: Karamellschnüre.
Make a long rope or a ball of knots.	Binde sie zu einem Strang zusammen oder verknote sie zu einem Ball.
Or see how fast you can eat a lace without using your hands.	Oder teste, wie schnell du die ganz Schnur aufessen kannst, ohne die Hände zu benutzen.
Are you faster than your friends?	Bist schneller als deine Freunde?
Strawberry flavoured candy laces.	Lecker und lustig: Erdbeerschnüre.
Handy cooling bag with carrying straps for a day at the beach, for the picnic, or for bringing your food products home today!	Praktische Kühltasche mit Trageriemen - für den Strand, fürs Picknick oder um Einkäufe gekühlt nach Hause zu bringen.
The rug has the same pattern on both sides, so you can turn it over and it will withstand more wear and last even longer.	Das flach gewebte Muster ist auf beiden Seiten gleich ausgeprägt - so kann der Teppich beidseitig verwendet werden und hält länger.
8 compartments in two different sizes; convenient storage for books, magazines, accessories, etc.	8 Fächer in zwei verschiedenen Größen: praktische Aufbewahrung für Bücher, Zeitschriften, Zubehör usw.
Can be placed behind a sofa, along a wall, or be used as a room divider.	Optimal als praktische Ablagefläche hinter frei stehenden Sofas, an der Wand oder als Raumteiler.
Suitable if you sleep on your side  since the height of the down pillow keeps your head, neck and spine aligned and straight so you can relax.	Ein hohes Daunenkissen für Seitenschläfer: Kopf, Nacken und Wirbelsäule sind auf gleicher Ebene; man liegt gerade und kann entspannen.
